CHEM,SMILES
(+)-3-THUJONE,CC1C2CC2(CC1=O)C(C)C
(+)-ADLUMINE,CN1CCC2=CC(=C(C=C2C1C3C4=C(C5=C(C=C4)OCO5)C(=O)O3)OC)OC
(+)-ALPHA-VINIFERIN,C1=CC(=CC=C1C2C3C4=C5C(C(OC5=CC(=C4)O)C6=CC=C(C=C6)O)C7=C8C(C(OC8=CC(=C7)O)C9=CC=C(C=C9)O)C1=C3C(=CC(=C1)O)O2)O
(+)-AMMODENDRINE,CC(=O)N1CCCC(=C1)C2CCCCN2
(+)-AROMOLINE,CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=CC(=C(C=C7CCN6C)OC)O3)O)O)OC
(+)-CAMPHOR,"CC1(C2CCC1(C(=O)C2)C)C
CC1(C2CCC1(C(=O)C2)C)C
CC1(C2CCC1(C(=O)C2)C)C
CC1(C2CCC1(C(=O)C2)C)C"
(+)-CARVONE,CC1=CCC(CC1=O)C(=C)C
(+)-CASSYTHICINE,CN1CCC2=CC3=C(C4=C2C1CC5=CC(=C(C=C54)OC)O)OCO3
(+)-CATECHIN,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
(+)-CATECHOL,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
(+)-CONIINE,CCCC1CCCCN1
(+)-CYANIDANOL-3,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
(+)-EPIEUDESMIN,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC)OC)OC
(+)-EPIPINORESINOL,COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)O)OC)O
(+)-EUDESMIN,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC)OC)OC
(+)-GALBACIN,CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)OCO5)C
(+)-HERNANDEZINE,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(CCN6C)C(=C(C(=C7O3)OC)OC)OC)OC)OC
(+)-ISOCORYDINE,CN1CCC2=CC(=C(C3=C2C1CC4=C3C(=C(C=C4)OC)O)OC)OC
(+)-ISOLARICIRESINOL,COC1=C(C=C2C(C(C(CC2=C1)CO)CO)C3=CC(=C(C=C3)O)OC)O
(+)-MATRINE,"C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1
C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1
C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1
C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1
C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1"
(+)-NORTRACHELOGENIN,COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)O)O
(+)-PINORESINOL,COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)O)OC)O
(+)-PISATIN,COC1=CC2=C(C=C1)C3C(CO2)(C4=CC5=C(C=C4O3)OCO5)O
(+)-PSEUDOEPHEDRINE,CC(C(C1=CC=CC=C1)O)NC
(+)-T-CADINOL,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C
MENTHOL,CC1CCC(C(C1)O)C(C)C
MENTHONE,"CC1CCC(C(=O)C1)C(C)C
CC1CCC(C(=O)C1)C(C)C
CC1CCC(C(=O)C1)C(C)C"
NUCIFERINE,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)OC)OC
ODORINOL,CCC(C)(C(=O)NC1CCCN1C(=O)C=CC2=CC=CC=C2)O
PIPERITONE,CC1=CC(=O)C(CC1)C(C)C
PULEGONE,CC1CCC(=C(C)C)C(=O)C1
ISOSATIVAN,"COC1=CC(=C(C=C1)C2CC3=C(C=C(C=C3)OC)OC2)O
COC1=CC(=C(C=C1)C2CC3=C(C=C(C=C3)OC)OC2)O"
KAUR-16-EN-19-OIC-ACID,CC12CCCC(C1CCC34C2CCC(C3)C(=C)C4)(C)C(=O)O
LIMONENE,CC1=CCC(CC1)C(=C)C
LOLIOLIDE,CC1(CC(CC2(C1=CC(=O)O2)C)O)C
MATAIRESINOL,COC1=C(C=CC(=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)O
MEDICARPIN,COC1=CC2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)O
EPICATECHIN,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
